20230422	00:34:17	1baaa5e4-36c4-498d-a9d6-2f2634a6472d	POST	$undefined	/states/KS/funfact
20230422	10:25:09	2bd14ffa-13c8-4191-8a74-ce73ccc5e5b5	GET	$undefined	/states/
20230422	10:25:22	99164e25-a1cf-4d50-989a-18e639e16b00	GET	$undefined	/states/KS/
20230422	10:25:35	c9762e0f-b02a-4b81-bac7-da5fd79d1452	GET	$undefined	/states/KS/
20230422	11:05:49	611032d0-f725-4534-868e-4dae2e8cadb8	GET	$undefined	/states/
20230422	11:06:57	728fef74-363b-492b-8fb3-db54eb4d1870	GET	$undefined	/states/
20230422	11:09:30	d1300d5e-db47-4125-aca4-f920d0b00835	GET	$undefined	/states/
20230422	11:11:24	4be55a5c-f050-4a66-aead-ad9ffd31284d	GET	$undefined	/states/
20230422	11:12:07	bf79e1eb-84a2-46ed-9f36-53c0c0b93cfe	GET	$undefined	/states/
20230422	11:12:58	4fd7b0dd-4230-407a-8bf5-d13c0523f257	GET	$undefined	/states/
20230422	11:13:41	5ab71ea6-6f3e-4f5a-b7d1-85eb22ed85f7	GET	$undefined	/states/
20230422	11:15:51	693d60c9-52ef-4c66-9449-1a646d8c861d	GET	$undefined	/states/
20230422	11:17:18	a5a0702e-6650-4fa9-90cf-f7589c13cc52	GET	$undefined	/states/
20230422	11:18:20	44dfeef4-3ffa-49b0-b4b1-7c38e5520918	GET	$undefined	/states/KS/
20230422	11:20:15	492b0299-969c-4584-8761-23368358b42c	GET	$undefined	/states/KS/
20230422	11:20:52	a08738ac-5b46-4d49-b13b-7e6becad2cef	GET	$undefined	/states/KS/
20230422	11:21:03	bf81d911-ed6d-4fb3-a930-2c22445e893f	GET	$undefined	/states/
20230422	11:36:13	a2a71e40-9bac-4036-acfe-4d1ec1b4d6e5	GET	$undefined	/states/KS/funfact
20230422	11:36:19	73d11122-dcba-4c8c-8f68-ad8a3896b932	GET	$undefined	/states/KS/funfact
20230422	11:36:23	20ddb440-e502-48a3-8a7a-bc171bb213f3	GET	$undefined	/states/KS/funfact
20230422	11:36:24	130be1d2-1f54-461d-afb1-b4205fe760ff	GET	$undefined	/states/KS/funfact
20230422	11:36:25	148904aa-dbb7-4f7e-8ff7-011993fce632	GET	$undefined	/states/KS/funfact
20230422	11:36:26	19ac8ceb-841f-423a-811d-2c9be4bb8901	GET	$undefined	/states/KS/funfact
20230422	11:36:26	04e2d9c1-5d26-49c9-8405-93b3fedb9ffa	GET	$undefined	/states/KS/funfact
20230422	11:36:27	b5274c8c-8d7a-4b5f-b28e-ef9022010f56	GET	$undefined	/states/KS/funfact
20230422	11:36:28	cfd4413e-20e9-4ccb-bf72-67daa2e02a96	GET	$undefined	/states/KS/funfact
20230422	11:47:56	eea74ccd-6225-426c-89dd-9e6ceab6824d	GET	$undefined	/state/KS/
20230422	11:48:03	fb26d750-7ef3-4529-9338-35cf57b59d85	GET	$undefined	/states/KS/
20230422	11:48:43	8e8016c1-162b-49af-b358-f794abb35ff8	DELETE	$undefined	/states/KS/
